Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerGrowthScore,PromotionDelayCategory,TrainingNeedIndicator,CareerStage,HighPromotionGap,CareerCluster,PC1,PC2,HC_Cluster,CareerClusterName
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.0,0.8,1.0,0.6,11.3,Recent,0,Mid,0,0,-1.0856290180806596,0.33513264935908305,2,Fast-track Performers
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,11.2,Recent,0,Senior,0,1,0.41205605326336137,0.98768442720109,1,Stable Contributors
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0.8,0.4,0.2,0.6,3.7,Delayed,1,Mid,0,0,0.44334561361836156,-2.5088108555530217,1,Fast-track Performers
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0.5,1.0,1.0,1.0,7.1,Recent,0,Early,0,0,-0.2930007409219053,-2.121693239917655,2,Fast-track Performers
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.0,0.5,1.0,0.75,10.4,Recent,0,Mid,0,0,-1.3573222839953618,0.0018059330671487126,2,Fast-track Performers
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0.8,0.9,0.1,0.8,3.1,Critical,1,Senior,1,1,3.5401524015341126,-1.4779503693401483,1,Stable Contributors
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,11.2,Recent,0,Mid,0,0,-1.1198094509951064,0.5610902046351218,2,Fast-track Performers
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0.0,0.0,2.0,0.0,8.3,Recent,0,Early,0,0,-3.026897727242225,-0.4009852578291137,2,Fast-track Performers
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0.12,0.32,0.12,0.28,12.6,Moderate,0,Veteran,0,1,1.8737925363799637,3.1090281069480974,1,Stable Contributors
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,8.1,Recent,0,Mid,0,0,-0.9206313657245906,-1.1624552891485935,2,Fast-track Performers
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0.25,0.5,1.25,0.75,12.8,Recent,0,Mid,0,0,-1.1971497579229826,0.5348632015860441,2,Fast-track Performers
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,0.0,0.6,0.8,0.6,12.3,Recent,0,Mid,0,0,-1.2855283446724277,0.40794635833038206,2,Fast-track Performers
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0.1666666666666666,0.5,0.3333333333333333,0.9166666666666666,12.1,Moderate,0,Senior,0,1,1.4548245491774576,1.7677813493942716,1,Stable Contributors
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0,0.0,0.0,12.4,Recent,0,Early,0,0,-2.971322797098644,0.8802124594379661,2,Fast-track Performers
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,0.25,0.5,0.5,0.75,7.1,Recent,0,Mid,0,0,-0.5624473228533268,-1.165667022455072,2,Fast-track Performers
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.2857142857142857,0.9285714285714286,0.2142857142857142,0.5714285714285714,13.1,Delayed,0,Senior,0,1,2.8157179521002225,2.5310416498176793,1,Stable Contributors
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,0.6,0.2,0.5,0.7,7.199999999999999,Delayed,0,Senior,1,1,0.6806988327179029,-0.640068402067837,2,Stable Contributors
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,6.1,Delayed,0,Senior,0,1,0.878424384271447,-0.7421986476086795,2,Stable Contributors
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0.2272727272727272,0.2727272727272727,0.1818181818181818,0.7727272727272727,9.4,Delayed,0,Veteran,1,1,3.165610405892391,2.2186392861072863,1,Stable Contributors
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,1.0,1.0,1.0,0.5,14.2,Moderate,0,Early,0,0,-0.05413184226002622,0.07122937799255812,2,Fast-track Performers
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.0,1.0,3.0,0.0,9.1,Recent,0,Early,0,0,-2.669082136929972,-0.7353363319083714,2,Fast-track Performers
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.25,0.5,1.25,0.75,12.3,Recent,0,Mid,0,0,-1.1611848440619934,0.46090094742050186,2,Fast-track Performers
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0.1,0.0,0.5,0.8,10.3,Recent,0,Senior,0,0,-0.6434736036734527,0.7600539896137712,2,Fast-track Performers
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.0,0.0,6.0,0.0,14.4,Recent,0,Early,0,0,-4.796842626535611,1.366821195676723,2,Fast-track Performers
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1.0,0.0,1.0,0.0,6.6,Moderate,0,Early,0,0,-1.6332650038310605,-2.002886288584776,1,Fast-track Performers
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0.2,0.6,0.6,0.8,8.2,Recent,0,Mid,0,0,-0.36983758537837164,-0.7121372855347046,2,Fast-track Performers
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,8.4,Recent,0,Mid,0,0,-1.1115322030837722,-0.7627235045920187,2,Fast-track Performers
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,1.0,1.0,1.5,1.0,7.300000000000001,Moderate,0,Early,0,0,-0.08415535176278446,-2.6809798647590743,1,Fast-track Performers
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.0,1.0,3.0,0.0,9.4,Recent,0,Early,0,0,-2.6906610852465658,-0.690958979409046,2,Fast-track Performers
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.2,0.6,0.6,0.6,10.9,Recent,0,Mid,0,0,-0.6237054220560811,0.150501417896763,2,Fast-track Performers
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0.0,0.0,3.0,0.0,9.2,Recent,0,Early,0,0,-3.472037048837586,-0.15564504549866987,2,Fast-track Performers
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0.0,0.0,6.0,0.0,12.3,Recent,0,Early,0,0,-4.83622694471246,0.6395453948250962,2,Fast-track Performers
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,0.0,0.0,2.0,1.0,8.2,Recent,0,Early,0,0,-2.224628443010844,-0.8723231771286362,2,Fast-track Performers
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,9.5,Recent,1,Senior,0,1,1.5757128930346425,0.43783128106740143,1,Stable Contributors
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0.25,0.6666666666666666,0.1666666666666666,0.5833333333333334,9.3,Moderate,0,Senior,0,1,1.4668797486437393,0.41024616390994734,1,Stable Contributors
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.6818181818181818,0.6818181818181818,0.0,0.3636363636363636,-0.8000000000000007,Critical,1,Veteran,1,1,6.0555529904167145,-0.2731633596141146,1,Stable Contributors
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,4.0,Critical,0,Senior,1,1,2.3619979048055164,-1.8083117431577358,1,Stable Contributors
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.0,0.0,1.0,0.0,9.1,Recent,1,Early,0,0,-2.7040391127742276,-0.39485380599671455,2,Fast-track Performers
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.0,0.6666666666666666,0.4444444444444444,0.8888888888888888,14.1,Recent,0,Senior,0,1,0.2994968346705196,1.5504209096214545,1,Stable Contributors
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0.0,0.0,2.0,1.0,8.9,Recent,0,Early,0,0,-2.274979322416229,-0.7687760212968769,2,Fast-track Performers
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.0,0.0,2.0,0.0,12.3,Recent,0,Early,0,0,-2.9337431253441313,1.0239814422079232,2,Fast-track Performers
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1.0,1.0,1.5,1.0,7.300000000000001,Moderate,0,Early,0,0,-0.08415535176278446,-2.6809798647590743,1,Fast-track Performers
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.25,0.75,0.5,0.75,11.1,Recent,0,Mid,0,0,-0.37541851522806646,-0.262120179986956,2,Fast-track Performers
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.5,0.0,0.75,0.75,11.3,Moderate,0,Mid,0,0,-0.9099338545278455,0.2598597428412666,2,Fast-track Performers
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.0,1.0,1.0,0.0,10.9,Recent,0,Early,0,0,-1.727107553094983,-0.018063027747854787,2,Fast-track Performers
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0.5333333333333333,0.9333333333333332,0.0666666666666666,0.8,3.1999999999999997,Critical,1,Veteran,1,1,4.7390940954573635,-0.3956934238450684,1,Stable Contributors
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.8888888888888888,14.2,Recent,0,Senior,0,1,1.1465010746536046,1.5920211494012484,1,Stable Contributors
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1.0,1.0,1.5,1.0,7.5,Moderate,0,Early,0,0,-0.0985413173071801,-2.6513949630928573,1,Fast-track Performers
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0.1428571428571428,1.0,0.4285714285714285,1.0,12.2,Recent,0,Senior,0,1,0.8853209571559106,0.49909837892690884,1,Stable Contributors
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0.0,0.7142857142857143,0.2857142857142857,1.0,10.8,Recent,0,Senior,0,0,0.4558181111577402,0.45859192226990647,1,Fast-track Performers
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,6.199999999999999,Critical,0,Senior,1,1,2.6775230009032343,-1.1920076695542405,1,Stable Contributors
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0.9,0.3,0.2,0.9,1.0999999999999996,Critical,0,Senior,1,1,2.6772691882162714,-2.1376530862673144,1,Stable Contributors
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0.4814814814814814,0.1111111111111111,0.074074074074074,0.2962962962962963,3.1999999999999997,Critical,0,Veteran,1,1,3.780085959056792,1.0573229249594605,1,Stable Contributors
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0.3333333333333333,0.7619047619047619,0.1428571428571428,0.4285714285714285,6.1,Critical,0,Veteran,1,1,4.042745392087187,1.1998961021076935,1,Stable Contributors
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0.7058823529411765,0.8235294117647058,0.1176470588235294,0.4705882352941176,0.3000000000000007,Critical,0,Veteran,1,1,4.835351368521435,-0.9734002397551756,1,Stable Contributors
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0.0,0.0,0.4,0.4,14.4,Recent,0,Mid,0,0,-1.621517813989676,1.9389887282112965,2,Fast-track Performers
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0.0,0.8333333333333334,0.5,0.5,11.3,Recent,0,Mid,0,0,-0.4859121628927533,0.5890577746021193,2,Fast-track Performers
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0.0,0.0,2.0,0.0,12.7,Recent,0,Early,0,0,-2.9625150564329226,1.0831512455403567,2,Fast-track Performers
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,7.300000000000001,Recent,0,Mid,0,0,-0.6978163028982746,-1.4238480072978346,2,Fast-track Performers
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,0.0,0.0,0.0,0.0,6.7,Recent,1,Early,0,0,-2.1510050495958994,-0.862080780823785,2,Fast-track Performers
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0.25,0.75,0.5,0.75,9.1,Recent,0,Mid,0,0,-0.23155885978410964,-0.5579691966491247,2,Fast-track Performers
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0.0,0.8,0.6,0.8,11.3,Recent,0,Mid,0,0,-0.59104486896056,-0.00991975385161653,2,Fast-track Performers
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,1.0,1.0,4.0,0.0,9.7,Recent,0,Early,0,0,-2.3272802818768565,-1.9360044367685139,2,Fast-track Performers
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0.0,0.4,0.3,0.9,11.7,Recent,0,Senior,0,1,0.35244374852645965,1.2119468016682051,2,Stable Contributors
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0.0,0.0,3.0,0.0,9.2,Recent,0,Early,0,0,-3.472037048837586,-0.15564504549866987,2,Fast-track Performers
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0.0909090909090909,0.6363636363636364,0.1818181818181818,0.7272727272727273,11.3,Recent,0,Senior,0,1,0.990244148984442,0.914921105932576,1,Stable Contributors
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.5333333333333333,8.4,Moderate,0,Veteran,0,1,2.325345205006109,0.8404344885919418,1,Stable Contributors
45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0.0,0.0,0.0,0.0,13.4,Recent,0,Early,0,0,-2.4892620240836854,1.3859788650507705,2,Fast-track Performers
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0.0,0.4,0.6,0.4,13.3,Recent,0,Mid,0,0,-1.3546480166995598,1.3606369315955704,2,Fast-track Performers
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0.0,0.5,0.5,0.5,12.2,Recent,0,Mid,0,0,-1.3037550711273986,0.46311619629924256,2,Fast-track Performers
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0.3,0.8,0.1,0.0,6.199999999999999,Moderate,1,Senior,0,0,0.5698204921170712,-0.5489308244698233,2,Fast-track Performers
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0.0,0.6666666666666666,0.5,0.6666666666666666,9.8,Recent,0,Mid,0,0,-0.5685510037348034,-0.025328976261927483,2,Fast-track Performers
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,1.0,0.0,4.0,0.0,13.4,Recent,0,Early,0,0,-3.0083086607975855,0.009483746345790986,2,Fast-track Performers
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0.0769230769230769,0.8461538461538461,0.2307692307692307,0.6923076923076923,10.2,Recent,0,Senior,0,1,1.803399683008054,1.170255885426647,1,Stable Contributors
